1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring
Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring
Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Spring,Summer,Spring,Spring,Spring,Spring,Summer,Summer,Spring,Spring,Spring,Summer,Spring,Summer,Spring,Spring
Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer
Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer
Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer
Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer
Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer
Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer
Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer
Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer,Summer
Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Summer,Fall,Fall,Fall,Summer,Fall,Fall,Summer,Fall
Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall
Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall
Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall
Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall,Fall
