Timestamp,Active Power,Active Devices
2023-06-16 19:15,1086.3016357421875,"Always On, Motor 1, Other"
2023-06-16 19:20,1085.5020751953125,"Always On, Motor 1, Other"
2023-06-16 19:25,788.120849609375,"Always On, Other, Fridge"
2023-06-16 19:30,791.75048828125,"Always On, Other, Fridge"
2023-06-16 19:35,1198.7105712890625,"Always On, Motor 1, Other, Fridge"
2023-06-16 19:40,1222.709716796875,"Always On, Motor 1, Other, Fridge"
2023-06-16 19:45,1107.4791259765625,"Always On, Motor 1, Other"
2023-06-16 19:50,1100.347900390625,"Always On, Motor 1, Other"
2023-06-16 19:55,1225.2122802734375,"Always On, Motor 1, Other, Fridge"
2023-06-16 20:00,1224.360107421875,"Always On, Motor 1, Other, Fridge"
2023-06-16 20:05,1209.586669921875,"Always On, Motor 1, Other, Fridge"
2023-06-16 20:10,1207.6402587890625,"Always On, Motor 1, Other, Fridge"
2023-06-16 20:15,1207.6402587890625,"Always On, Motor 1, Other, Fridge"
2023-06-16 20:20,1308.791748046875,"Always On, Motor 1, Other, Light 1"
2023-06-16 20:25,1291.974609375,"Always On, Motor 1, Other, Fridge"
2023-06-16 20:30,1286.614501953125,"Always On, Motor 1, Other, Fridge"
2023-06-16 20:35,1274.154541015625,"Always On, Motor 1, Other, Fridge"
2023-06-16 20:40,1449.095458984375,"Other, Always On, Motor 1, Fridge"
2023-06-16 20:45,758.049072265625,"Always On, Other"
2023-06-16 20:50,1145.9879150390625,"Always On, Motor 1, Other"
2023-06-16 20:55,1191.4501953125,"Always On, Motor 1, Other"
2023-06-16 21:00,1358.014404296875,"Always On, Motor 1, Other, Fridge"
2023-06-16 21:05,1314.87451171875,"Always On, Motor 1, Other, Fridge"
2023-06-16 21:10,1300.3603515625,"Always On, Motor 1, Other, Fridge"
2023-06-16 21:15,1300.3603515625,"Always On, Motor 1, Other, Fridge"
2023-06-16 21:20,1186.3204345703125,"Always On, Motor 1, Other"
2023-06-16 21:25,1182.635498046875,"Always On, Motor 1, Other"
2023-06-16 21:30,1186.662109375,"Always On, Motor 1, Other"
2023-06-16 21:35,1318.2716064453125,"Always On, Motor 1, Other, Fridge"
2023-06-16 21:40,1304.355224609375,"Always On, Motor 1, Other, Fridge"
2023-06-16 21:45,1296.977294921875,"Always On, Motor 1, Other, Fridge"
2023-06-16 21:50,1183.8466796875,"Always On, Motor 1, Other"
2023-06-16 21:55,752.7736206054688,"Always On, Other"
2023-06-16 22:00,759.3646240234375,"Always On, Other"
2023-06-16 22:05,1312.3443603515625,"Always On, Motor 1, Other, Fridge"
2023-06-16 22:10,1314.978759765625,"Always On, Motor 1, Other, Fridge"
2023-06-16 22:15,1314.978759765625,"Always On, Motor 1, Other, Fridge"
2023-06-16 22:20,1300.874755859375,"Always On, Motor 1, Other, Fridge"
2023-06-16 22:25,1184.7099609375,"Always On, Motor 1, Other"
2023-06-16 22:30,1184.81982421875,"Always On, Motor 1, Other"
2023-06-16 22:35,1186.4425048828125,"Always On, Motor 1, Other"
2023-06-16 22:40,1314.457763671875,"Always On, Motor 1, Other, Fridge"
2023-06-16 22:45,1307.4730224609375,"Always On, Motor 1, Other, Fridge"
2023-06-16 22:50,1298.341552734375,"Always On, Motor 1, Other, Fridge"
2023-06-16 22:55,1184.8143310546875,"Always On, Motor 1, Other"
2023-06-16 23:00,1037.5521240234375,"Always On, Motor 1, Other"
2023-06-16 23:05,1671.0545654296875,"Other, Always On, Motor 1"
2023-06-16 23:10,1552.3876953125,"Other, Always On, Fridge"
2023-06-16 23:15,1857.08447265625,"Other, Always On, Motor 1, Fridge"
2023-06-16 23:20,2007.8634033203125,"Other, Always On, Motor 1, Fridge"
2023-06-16 23:25,2106.1884765625,"Other, Always On, Motor 1, Fridge"
2023-06-16 23:30,1987.640869140625,"Other, Always On, Motor 1, Fridge"
2023-06-16 23:35,1964.595703125,"Other, Always On, Motor 1, Fridge"
2023-06-16 23:40,1982.483642578125,"Other, Always On, Motor 1, Fridge"
2023-06-16 23:45,1187.2767333984375,"Always On, Motor 1, Other, Fridge"
2023-06-16 23:50,1180.428955078125,"Always On, Motor 1, Other, Fridge"
2023-06-16 23:55,1176.5208740234375,"Always On, Motor 1, Other, Fridge"
2023-06-17 00:00,1093.3934326171875,"Always On, Motor 1, Other"
2023-06-17 00:05,951.346435546875,"Always On, Motor 1, Other"
2023-06-17 00:10,947.373779296875,"Always On, Motor 1, Other"
2023-06-17 00:15,1063.9276123046875,"Always On, Motor 1, Fridge, Other"
2023-06-17 00:20,1063.9276123046875,"Always On, Motor 1, Fridge, Other"
2023-06-17 00:25,656.7968139648438,"Always On, Fridge, Other"
2023-06-17 00:30,542.9505615234375,"Always On, Other"
2023-06-17 00:35,869.7593994140625,"Always On, Motor 1, Other"
2023-06-17 00:40,888.830078125,"Always On, Motor 1, Other"
2023-06-17 00:45,879.4932861328125,"Always On, Motor 1, Other"
2023-06-17 00:50,1009.223876953125,"Always On, Motor 1, Fridge, Other"
2023-06-17 00:55,996.5723876953125,"Always On, Motor 1, Fridge, Other"
2023-06-17 01:00,987.3902587890625,"Always On, Motor 1, Fridge, Other"
2023-06-17 01:05,846.0227661132812,"Always On, Motor 1"
2023-06-17 01:10,843.0463256835938,"Always On, Motor 1"
2023-06-17 01:15,842.91552734375,"Always On, Motor 1"
2023-06-17 01:20,842.91552734375,"Always On, Motor 1"
2023-06-17 01:25,969.3961181640625,"Always On, Motor 1, Fridge, Other"
2023-06-17 01:30,948.67431640625,"Always On, Motor 1, Fridge"
2023-06-17 01:35,833.8182373046875,"Always On, Motor 1"
2023-06-17 01:40,419.41455078125,Always On
2023-06-17 01:45,418.8446044921875,Always On
2023-06-17 01:50,838.733154296875,"Always On, Motor 1"
2023-06-17 01:55,977.3375244140625,"Motor 1, Always On, Fridge, Other"
2023-06-17 02:00,962.6142578125,"Motor 1, Always On, Fridge"
2023-06-17 02:05,957.6766967773438,"Motor 1, Always On, Fridge, Other"
2023-06-17 02:10,840.6590576171875,"Always On, Motor 1, Other"
2023-06-17 02:15,841.0072021484375,"Always On, Motor 1, Other"
2023-06-17 02:20,842.2214965820312,"Always On, Motor 1, Other"
2023-06-17 02:25,841.2490234375,"Always On, Motor 1, Other"
2023-06-17 02:30,970.0065307617188,"Always On, Motor 1, Fridge, Other"
2023-06-17 02:35,951.9845581054688,"Always On, Motor 1, Fridge"
2023-06-17 02:40,951.110595703125,"Always On, Motor 1, Fridge, Other"
2023-06-17 02:45,835.447509765625,"Always On, Motor 1"
2023-06-17 02:50,837.8177490234375,"Always On, Motor 1, Other"
2023-06-17 02:55,416.3157653808594,Always On
2023-06-17 03:00,547.5292358398438,"Always On, Fridge"
2023-06-17 03:05,955.885009765625,"Always On, Motor 1, Fridge, Other"
2023-06-17 03:10,962.8711547851562,"Motor 1, Always On, Fridge, Other"
2023-06-17 03:15,855.2939453125,"Motor 1, Always On, Other"
2023-06-17 03:20,862.3409423828125,"Motor 1, Always On, Other"
2023-06-17 03:25,849.4127197265625,"Motor 1, Always On, Other"
2023-06-17 03:30,848.7543334960938,"Motor 1, Always On, Other"
2023-06-17 03:35,972.9674072265625,"Always On, Motor 1, Fridge, Other"
2023-06-17 03:40,959.095458984375,"Always On, Motor 1, Fridge, Other"
2023-06-17 03:45,958.0626220703125,"Motor 1, Always On, Fridge, Other"
2023-06-17 03:50,841.1627807617188,"Always On, Motor 1, Other"
2023-06-17 03:55,843.5040283203125,"Always On, Motor 1, Other"
2023-06-17 04:00,847.793701171875,"Always On, Motor 1, Other"
2023-06-17 04:05,846.5094604492188,"Always On, Motor 1, Other"
2023-06-17 04:10,970.0179443359375,"Always On, Motor 1, Fridge, Other"
2023-06-17 04:15,537.1858520507812,"Always On, Fridge"
2023-06-17 04:20,916.8291015625,"Always On, Motor 1, Fridge, Other"
2023-06-17 04:25,916.8291015625,"Always On, Motor 1, Fridge, Other"
2023-06-17 04:30,853.0599365234375,"Motor 1, Always On, Other"
2023-06-17 04:35,853.1197509765625,"Motor 1, Always On, Other"
2023-06-17 04:40,978.4141845703125,"Motor 1, Always On, Fridge, Other"
2023-06-17 04:45,972.4288330078125,"Motor 1, Always On, Fridge, Other"
2023-06-17 04:50,958.662109375,"Motor 1, Always On, Fridge, Other"
2023-06-17 04:55,833.306396484375,"Always On, Motor 1"
2023-06-17 05:00,837.7384033203125,"Motor 1, Always On, Other"
2023-06-17 05:05,839.653076171875,"Motor 1, Always On, Other"
2023-06-17 05:10,839.1121215820312,"Always On, Motor 1, Other"
2023-06-17 05:15,962.8671875,"Always On, Motor 1, Fridge, Other"
2023-06-17 05:20,954.8795776367188,"Always On, Motor 1, Fridge, Other"
